Time, Accel_X, Accel_Y, Accel_Z, Gyro_X, Gyro_Y, Gyro_Z
1733732998.249548197, -0.158806338, 0.284864259, 10.487976239, 0.491920927, 0.020114430, 0.735158295
1733732998.252048016, -0.099051789, 0.303788360, 10.486187152, 0.437160902, 0.020838357, 0.701211194
1733732998.254547119, 0.025652861, 0.281550007, 10.407139463, 0.378604248, 0.028648742, 0.673229467
1733732998.257048130, 0.090579020, 0.235250173, 10.398195714, 0.328114682, 0.032882822, 0.643031803
1733732998.259546041, 0.125845251, 0.160869632, 10.292488113, 0.286064247, 0.042308362, 0.609051306
1733732998.262048006, 0.136970319, 0.105707414, 10.260950813, 0.264356289, 0.049104190, 0.575057999
1733732998.264549017, 0.076404181, 0.076633312, 10.211497773, 0.246486504, 0.050591938, 0.540286915
1733732998.267048120, 0.025936421, 0.055737194, 10.158077506, 0.236294640, 0.048816435, 0.510885191
1733732998.269546986, -0.087166008, 0.110795228, 10.146030679, 0.236238208, 0.043756988, 0.490200445
1733732998.272047043, -0.122634809, 0.161016837, 10.162933571, 0.228758161, 0.029275331, 0.476386815
1733732998.274547100, -0.147346085, 0.199193489, 10.150320184, 0.222680854, 0.015095516, 0.467952664
1733732998.277047157, -0.097980956, 0.209010177, 10.106841552, 0.220433732, -0.000098777, 0.464379714
1733732998.279548168, -0.047287058, 0.167762618, 10.062948801, 0.212621908, -0.009998173, 0.457808976
1733732998.282047987, -0.001209247, 0.127714580, 10.022328217, 0.214990230, -0.020952873, 0.447915652
1733732998.284548044, 0.086515465, 0.010702159, 9.934576384, 0.212827690, -0.027356896, 0.445126524
1733732998.287047148, 0.083616453, -0.050853073, 9.888781945, 0.225812598, -0.027145335, 0.432726393
1733732998.289548159, -0.027642834, -0.071013916, 9.940783475, 0.242656160, -0.030140965, 0.429724265
1733732998.292048216, -0.041441151, -0.082241485, 9.877222933, 0.258783012, -0.031039595, 0.424306143
1733732998.294548988, -0.100070249, -0.029546018, 9.968572017, 0.269652491, -0.033928140, 0.428395241
1733732998.297048092, -0.200256841, 0.069535324, 9.999595130, 0.274547567, -0.035712937, 0.437860488
1733732998.299547195, -0.243783357, 0.151786161, 10.066981119, 0.262233110, -0.036642140, 0.452445822
1733732998.302047014, -0.269116558, 0.168456743, 10.070547882, 0.248887291, -0.037868047, 0.472949979
1733732998.304549217, -0.296563930, 0.163326283, 10.078810038, 0.230973272, -0.037625593, 0.490198741
1733732998.307049036, -0.296436552, 0.131310147, 10.068885986, 0.212044961, -0.035554479, 0.518262520
1733732998.309548140, -0.243413756, 0.130107260, 10.036286457, 0.193499479, -0.027565688, 0.539851435
1733732998.312049150, -0.230891274, 0.141348297, 10.040304747, 0.178145876, -0.014918602, 0.562504097
1733732998.314547062, -0.212376428, 0.144977346, 10.061954282, 0.159998111, -0.002980876, 0.586170944
1733732998.317048073, -0.212273740, 0.164197726, 10.077429832, 0.147815454, 0.007859894, 0.611626370
1733732998.319549084, -0.189697771, 0.155077407, 10.076565123, 0.132492744, 0.022593646, 0.635242936
1733732998.322046995, -0.196617504, 0.148841136, 10.076598230, 0.121381290, 0.038660364, 0.658903737
1733732998.324548006, -0.170363480, 0.121042494, 10.101398913, 0.109905596, 0.049822098, 0.677297126
1733732998.327049017, -0.185937977, 0.124328502, 10.108569287, 0.108592684, 0.061959854, 0.696814208
1733732998.329548120, -0.177299300, 0.045004360, 10.108607070, 0.104820609, 0.072699877, 0.712147012
1733732998.332046986, -0.095187250, 0.006198300, 10.118972548, 0.101750544, 0.083014779, 0.716602587
1733732998.334547997, -0.076500510, -0.039319498, 10.089382762, 0.097625946, 0.091887713, 0.719588630
1733732998.337049007, -0.037356086, -0.046397846, 10.058514523, 0.093496715, 0.101086910, 0.717491018
1733732998.339548111, 0.056595731, -0.097637915, 10.085204362, 0.088309303, 0.109564658, 0.701770484
1733732998.342047215, 0.085810118, -0.123170319, 10.136393742, 0.079589208, 0.117335362, 0.684558927
1733732998.344547987, 0.107618454, -0.146133097, 10.205756984, 0.067345405, 0.120254320, 0.665121153
1733732998.347048044, 0.146712750, -0.173126885, 10.264624566, 0.058210123, 0.119902277, 0.637182410
1733732998.349548101, 0.122238086, -0.201348062, 10.285520683, 0.041693837, 0.117775583, 0.608142768
1733732998.352047205, 0.128606411, -0.154811616, 10.306605341, 0.020935535, 0.111828664, 0.580260297
1733732998.354547024, 0.110605752, -0.152696323, 10.355838604, -0.012218237, 0.093259294, 0.551195410
1733732998.357048988, 0.064790177, -0.141846211, 10.369926840, -0.050301014, 0.074018834, 0.516306268
1733732998.359548092, 0.023007669, -0.121305479, 10.390845216, -0.099628776, 0.051314587, 0.479879098
1733732998.362047195, 0.020699346, -0.102589747, 10.415548262, -0.148634935, 0.026510277, 0.443883520
1733732998.364547014, -0.005193120, -0.123854530, 10.443028367, -0.197294377, 0.000593885, 0.400537191
1733732998.367049217, -0.037032124, -0.150209371, 10.473244193, -0.240679668, -0.024971796, 0.358696240
1733732998.369548082, -0.066814379, -0.122029157, 10.443736145, -0.286537491, -0.052697247, 0.318872528
1733732998.372049093, -0.100126550, -0.119669770, 10.429812882, -0.322180467, -0.074107997, 0.277488549
1733732998.374548197, -0.167528438, -0.147200003, 10.434760412, -0.355399140, -0.098758455, 0.238946323
1733732998.377047062, -0.244895340, -0.077133283, 10.482870656, -0.385785835, -0.123048162, 0.209184699
1733732998.379548073, -0.326571575, -0.005058635, 10.471251414, -0.407028699, -0.144201438, 0.182353697
1733732998.382047176, -0.416537087, 0.083550426, 10.474798912, -0.425849498, -0.169502134, 0.174754926
1733732998.384548187, -0.449319546, 0.180263029, 10.454155118, -0.443935025, -0.189544951, 0.176304220
1733732998.387046099, -0.432604822, 0.262817627, 10.408766007, -0.451494754, -0.211334509, 0.187493412
1733732998.389547110, -0.394958068, 0.308214782, 10.280900108, -0.457193227, -0.220029650, 0.212102165
1733732998.392049074, -0.285940891, 0.279866601, 10.152474570, -0.456173769, -0.222803705, 0.241325858
1733732998.394548178, -0.206507514, 0.263721616, 10.039927851, -0.441384729, -0.215699084, 0.277166679
1733732998.397049189, -0.146256360, 0.279840789, 9.949753036, -0.415308627, -0.203401272, 0.315181893
1733732998.399548054, -0.103786274, 0.356260121, 9.915262668, -0.390578007, -0.185751065, 0.359617215
1733732998.402047157, -0.112486116, 0.401089032, 9.903072004, -0.360927357, -0.163926540, 0.406843343
1733732998.404548168, -0.115449284, 0.416017101, 9.900817362, -0.334017605, -0.137482948, 0.446791186
1733732998.407049179, -0.137729909, 0.482056927, 9.889335599, -0.301890961, -0.115984793, 0.490445589
1733732998.409548044, -0.103551533, 0.474849518, 9.912385727, -0.272877232, -0.088168422, 0.527404859
1733732998.412048101, -0.082330144, 0.467101362, 9.901159842, -0.249169533, -0.066669948, 0.547872796
1733732998.414548159, -0.059137674, 0.482874314, 9.921090619, -0.218060243, -0.039292518, 0.570799897
1733732998.417047024, -0.048377344, 0.437106810, 9.894060919, -0.195317699, -0.009420746, 0.570222098
1733732998.419548035, -0.023388119, 0.441877021, 9.863249916, -0.172648419, 0.013689926, 0.559432700
1733732998.422049046, -0.032454008, 0.398751156, 9.855840498, -0.156292642, 0.038928731, 0.540701889
1733732998.424549103, -0.052460351, 0.384690976, 9.833372641, -0.146987291, 0.057867082, 0.514270628
1733732998.427047014, -0.025853186, 0.397637115, 9.873000202, -0.134244891, 0.070366681, 0.477354714
1733732998.429548025, 0.020663807, 0.335630730, 9.870592745, -0.135196331, 0.077995147, 0.432089951
1733732998.432049036, 0.025192169, 0.257565588, 9.861535460, -0.124599241, 0.085801032, 0.376623549
1733732998.434549093, 0.054655513, 0.185902439, 9.861025388, -0.108422375, 0.087558931, 0.319331790
1733732998.437047005, 0.101044193, 0.152624871, 9.839858056, -0.095836542, 0.079464572, 0.257873223
1733732998.439548016, 0.121443144, 0.098721467, 9.845434431, -0.079390323, 0.072301814, 0.189540903
1733732998.442048073, 0.187171353, 0.077448267, 9.861313438, -0.066141363, 0.061325409, 0.125234724
1733732998.444549084, 0.186400540, 0.039745213, 9.894673866, -0.049092978, 0.040704473, 0.051949112
1733732998.447048187, 0.155520517, -0.021221576, 9.889672093, -0.031019542, 0.019453486, -0.009609937
1733732998.449549198, 0.137841949, -0.030806889, 9.950926931, -0.014391749, -0.008514818, -0.068512109
1733732998.452048063, 0.039192120, 0.028700948, 10.021324159, 0.011618733, -0.047828269, -0.112922957
1733732998.454548120, -0.033778661, 0.085058945, 10.076875992, 0.030261526, -0.081744584, -0.143654558
1733732998.457046986, -0.114892451, 0.206304383, 10.098013771, 0.035841994, -0.129651683, -0.161055572
1733732998.459547997, -0.118127770, 0.322204446, 10.096387227, 0.035427073, -0.174220670, -0.153241565
1733732998.462049007, -0.058143156, 0.340550577, 10.089001190, 0.027004374, -0.214068777, -0.139680029
1733732998.464549065, 0.026142358, 0.352924546, 9.999074771, 0.019362087, -0.244294590, -0.112533044
1733732998.467048168, 0.146099803, 0.327201356, 9.939430391, 0.010340415, -0.274835588, -0.072408580
1733732998.469547033, 0.265693446, 0.314577869, 9.896097092, 0.012314137, -0.288104761, -0.025116139
1733732998.472047091, 0.376783270, 0.321269594, 9.883662895, 0.013289121, -0.297516506, 0.023399359
1733732998.474548101, 0.393077330, 0.265100326, 9.830566778, 0.018564070, -0.295617086, 0.067881233
1733732998.477047205, 0.415674996, 0.245819156, 9.859660520, 0.027368215, -0.291651240, 0.108931012
